Starting Mini SIEM Event Simulator...
Press Ctrl+C to stop.
/Users/hs13/Documents/DAE/main_project/simulator.py:14: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  "timestamp": datetime.utcnow().isoformat(),
Sent: workstation-102 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-02 | api_request | Normal activity: api_request by user admin
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user bwayne
Sent: workstation-102 | page_view | Normal activity: page_view by user pwiener
Sent: mail-server-01 | api_request | Normal activity: api_request by user ckent
Sent: web-prod-02 | file_access | Normal activity: file_access by user bwayne
Sent: db-prod-01 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-02 | file_access | Normal activity: file_access by user jsmith
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user pwiener
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user jsmith
Sent: web-prod-01 | file_access | Normal activity: file_access by user admin
Sent: web-prod-01 | file_access | Normal activity: file_access by user pwiener
Sent: mail-server-01 | page_view | Normal activity: page_view by user pwiener
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user bwayne

--- INITIATING ERROR SPIKE SIMULATION ---
Sent: web-prod-01 | error | Critical service failure or timeout 1
Sent: web-prod-01 | error | Critical service failure or timeout 2
Sent: web-prod-01 | error | Critical service failure or timeout 3
Sent: web-prod-01 | error | Critical service failure or timeout 4
Sent: web-prod-01 | error | Critical service failure or timeout 5
Sent: web-prod-01 | error | Critical service failure or timeout 6
Sent: web-prod-01 | error | Critical service failure or timeout 7
Sent: web-prod-01 | error | Critical service failure or timeout 8
Sent: web-prod-01 | error | Critical service failure or timeout 9
Sent: web-prod-01 | error | Critical service failure or timeout 10
Sent: web-prod-01 | error | Critical service failure or timeout 11
Sent: web-prod-01 | error | Critical service failure or timeout 12
Sent: mail-server-01 | api_request | Normal activity: api_request by user jsmith
Sent: db-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-01 | api_request | Normal activity: api_request by user jsmith
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user admin
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user pwiener
Sent: db-prod-01 | api_request | Normal activity: api_request by user pwiener
Sent: db-prod-01 | file_access | Normal activity: file_access by user jsmith
Sent: web-prod-02 | api_request | Normal activity: api_request by user admin
Sent: mail-server-01 | file_access | Normal activity: file_access by user pwiener
Sent: workstation-102 | api_request | Normal activity: api_request by user ckent
Sent: db-prod-01 | page_view | Normal activity: page_view by user pwiener
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user jsmith
Sent: web-prod-01 | page_view | Normal activity: page_view by user admin
Sent: mail-server-01 | page_view | Normal activity: page_view by user admin
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user bwayne

--- INITIATING BRUTE FORCE SIMULATION ---
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: workstation-102 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-01 | api_request | Normal activity: api_request by user admin
Sent: web-prod-01 | api_request | Normal activity: api_request by user pwiener
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: db-prod-01 | api_request | Normal activity: api_request by user pwiener
Sent: workstation-102 | file_access | Normal activity: file_access by user pwiener
Sent: mail-server-01 | api_request | Normal activity: api_request by user ckent
Sent: mail-server-01 | page_view | Normal activity: page_view by user jsmith
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user ckent
Sent: web-prod-02 | api_request | Normal activity: api_request by user jsmith
Sent: web-prod-02 | page_view | Normal activity: page_view by user pwiener
Sent: workstation-102 | file_access | Normal activity: file_access by user admin
Sent: mail-server-01 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-01 | file_access | Normal activity: file_access by user admin

--- INITIATING ERROR SPIKE SIMULATION ---
Sent: mail-server-01 | error | Critical service failure or timeout 1
Sent: mail-server-01 | error | Critical service failure or timeout 2
Sent: mail-server-01 | error | Critical service failure or timeout 3
Sent: mail-server-01 | error | Critical service failure or timeout 4
Sent: mail-server-01 | error | Critical service failure or timeout 5
Sent: mail-server-01 | error | Critical service failure or timeout 6
Sent: mail-server-01 | error | Critical service failure or timeout 7
Sent: mail-server-01 | error | Critical service failure or timeout 8
Sent: mail-server-01 | error | Critical service failure or timeout 9
Sent: mail-server-01 | error | Critical service failure or timeout 10
Sent: mail-server-01 | error | Critical service failure or timeout 11
Sent: mail-server-01 | error | Critical service failure or timeout 12
Sent: web-prod-01 | file_access | Normal activity: file_access by user jsmith
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user admin
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user admin
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user jsmith
Sent: workstation-102 | successful_login | Normal activity: successful_login by user pwiener
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: mail-server-01 | api_request | Normal activity: api_request by user ckent
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user pwiener
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user ckent
Sent: web-prod-01 | file_access | Normal activity: file_access by user pwiener
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user ckent
Sent: db-prod-01 | page_view | Normal activity: page_view by user jsmith

--- INITIATING BRUTE FORCE SIMULATION ---
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: mail-server-01 | file_access | Normal activity: file_access by user bwayne
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user bwayne
Sent: web-prod-02 | api_request | Normal activity: api_request by user admin
Sent: web-prod-01 | file_access | Normal activity: file_access by user pwiener
Sent: mail-server-01 | api_request | Normal activity: api_request by user jsmith
Sent: web-prod-02 | api_request | Normal activity: api_request by user pwiener
Sent: workstation-102 | page_view | Normal activity: page_view by user pwiener
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user jsmith
Sent: mail-server-01 | api_request | Normal activity: api_request by user ckent
Sent: web-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: db-prod-01 | api_request | Normal activity: api_request by user ckent
Sent: db-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-01 | file_access | Normal activity: file_access by user pwiener
Sent: workstation-102 | successful_login | Normal activity: successful_login by user jsmith

--- INITIATING BRUTE FORCE SIMULATION ---
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: db-prod-01 | failed_login | Failed authentication for user jsmith from unknown IP
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: web-prod-02 | api_request | Normal activity: api_request by user bwayne
Sent: mail-server-01 | file_access | Normal activity: file_access by user jsmith
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user ckent
Sent: workstation-102 | page_view | Normal activity: page_view by user admin
Sent: workstation-102 | api_request | Normal activity: api_request by user bwayne
Sent: db-prod-01 | api_request | Normal activity: api_request by user admin
Sent: web-prod-01 | page_view | Normal activity: page_view by user jsmith
Sent: web-prod-01 | file_access | Normal activity: file_access by user ckent
Sent: db-prod-01 | api_request | Normal activity: api_request by user ckent
Sent: workstation-102 | page_view | Normal activity: page_view by user admin
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: mail-server-01 | page_view | Normal activity: page_view by user admin
Sent: web-prod-02 | page_view | Normal activity: page_view by user pwiener

--- INITIATING BRUTE FORCE SIMULATION ---
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: web-prod-02 | failed_login | Failed authentication for user bwayne from unknown IP
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user jsmith
Sent: web-prod-01 | api_request | Normal activity: api_request by user ckent
Sent: workstation-102 | successful_login | Normal activity: successful_login by user jsmith
Sent: web-prod-01 | file_access | Normal activity: file_access by user admin
Sent: db-prod-01 | api_request | Normal activity: api_request by user ckent
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user ckent
Sent: mail-server-01 | api_request | Normal activity: api_request by user jsmith
Sent: workstation-102 | file_access | Normal activity: file_access by user bwayne
Sent: web-prod-01 | page_view | Normal activity: page_view by user pwiener
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: web-prod-01 | page_view | Normal activity: page_view by user jsmith
Sent: web-prod-02 | api_request | Normal activity: api_request by user admin
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user bwayne
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user pwiener
Sent: db-prod-01 | api_request | Normal activity: api_request by user ckent

--- INITIATING ERROR SPIKE SIMULATION ---
Sent: web-prod-02 | error | Critical service failure or timeout 1
Sent: web-prod-02 | error | Critical service failure or timeout 2
Sent: web-prod-02 | error | Critical service failure or timeout 3
Sent: web-prod-02 | error | Critical service failure or timeout 4
Sent: web-prod-02 | error | Critical service failure or timeout 5
Sent: web-prod-02 | error | Critical service failure or timeout 6
Sent: web-prod-02 | error | Critical service failure or timeout 7
Sent: web-prod-02 | error | Critical service failure or timeout 8
Sent: web-prod-02 | error | Critical service failure or timeout 9
Sent: web-prod-02 | error | Critical service failure or timeout 10
Sent: web-prod-02 | error | Critical service failure or timeout 11
Sent: web-prod-02 | error | Critical service failure or timeout 12
Sent: web-prod-02 | page_view | Normal activity: page_view by user admin
Sent: mail-server-01 | successful_login | Normal activity: successful_login by user admin
Sent: web-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-01 | file_access | Normal activity: file_access by user bwayne
Sent: web-prod-02 | file_access | Normal activity: file_access by user jsmith
Sent: web-prod-01 | file_access | Normal activity: file_access by user ckent
Sent: db-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: db-prod-01 | api_request | Normal activity: api_request by user pwiener
Sent: db-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: workstation-102 | successful_login | Normal activity: successful_login by user jsmith
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user pwiener
Sent: db-prod-01 | page_view | Normal activity: page_view by user pwiener
Sent: db-prod-01 | page_view | Normal activity: page_view by user pwiener
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user bwayne
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user admin

--- INITIATING ERROR SPIKE SIMULATION ---
Sent: web-prod-01 | error | Critical service failure or timeout 1
Sent: web-prod-01 | error | Critical service failure or timeout 2
Sent: web-prod-01 | error | Critical service failure or timeout 3
Sent: web-prod-01 | error | Critical service failure or timeout 4
Sent: web-prod-01 | error | Critical service failure or timeout 5
Sent: web-prod-01 | error | Critical service failure or timeout 6
Sent: web-prod-01 | error | Critical service failure or timeout 7
Sent: web-prod-01 | error | Critical service failure or timeout 8
Sent: web-prod-01 | error | Critical service failure or timeout 9
Sent: web-prod-01 | error | Critical service failure or timeout 10
Sent: web-prod-01 | error | Critical service failure or timeout 11
Sent: web-prod-01 | error | Critical service failure or timeout 12
Sent: mail-server-01 | page_view | Normal activity: page_view by user admin
Sent: web-prod-01 | page_view | Normal activity: page_view by user admin
Sent: web-prod-01 | file_access | Normal activity: file_access by user ckent
Sent: db-prod-01 | api_request | Normal activity: api_request by user pwiener
Sent: db-prod-01 | page_view | Normal activity: page_view by user ckent
Sent: web-prod-01 | successful_login | Normal activity: successful_login by user admin
Sent: workstation-102 | page_view | Normal activity: page_view by user pwiener
Sent: workstation-102 | successful_login | Normal activity: successful_login by user bwayne
Sent: web-prod-02 | page_view | Normal activity: page_view by user ckent
Sent: workstation-102 | api_request | Normal activity: api_request by user ckent
Sent: mail-server-01 | page_view | Normal activity: page_view by user admin
Sent: mail-server-01 | page_view | Normal activity: page_view by user bwayne
Sent: web-prod-02 | api_request | Normal activity: api_request by user ckent
Sent: db-prod-01 | successful_login | Normal activity: successful_login by user ckent
Sent: workstation-102 | successful_login | Normal activity: successful_login by user jsmith

--- INITIATING ERROR SPIKE SIMULATION ---
Sent: web-prod-01 | error | Critical service failure or timeout 1
Sent: web-prod-01 | error | Critical service failure or timeout 2
Sent: web-prod-01 | error | Critical service failure or timeout 3
Sent: web-prod-01 | error | Critical service failure or timeout 4
Sent: web-prod-01 | error | Critical service failure or timeout 5
Sent: web-prod-01 | error | Critical service failure or timeout 6
Sent: web-prod-01 | error | Critical service failure or timeout 7
Sent: web-prod-01 | error | Critical service failure or timeout 8
Sent: web-prod-01 | error | Critical service failure or timeout 9
Sent: web-prod-01 | error | Critical service failure or timeout 10
Sent: web-prod-01 | error | Critical service failure or timeout 11
Sent: web-prod-01 | error | Critical service failure or timeout 12
Sent: workstation-102 | successful_login | Normal activity: successful_login by user bwayne
Sent: workstation-102 | file_access | Normal activity: file_access by user ckent
Sent: db-prod-01 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-02 | page_view | Normal activity: page_view by user bwayne
Sent: web-prod-02 | api_request | Normal activity: api_request by user jsmith
Sent: db-prod-01 | page_view | Normal activity: page_view by user jsmith
Sent: web-prod-01 | api_request | Normal activity: api_request by user jsmith
Sent: workstation-102 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-02 | successful_login | Normal activity: successful_login by user pwiener
Sent: web-prod-02 | api_request | Normal activity: api_request by user pwiener
Sent: web-prod-02 | api_request | Normal activity: api_request by user bwayne
Sent: web-prod-01 | api_request | Normal activity: api_request by user admin
Sent: mail-server-01 | api_request | Normal activity: api_request by user admin
Sent: mail-server-01 | file_access | Normal activity: file_access by user pwiener
